name,realname
TRUUMBULL,TRUMBULL
UIONVILLE,FARMINGTON
UNCASEVILLE,MONTVILLE
UNCASVILLE,MONTVILLE
UNCASVILLE MONTVILLE,MONTVILLE
UNCAVILLE,MONTVILLE
UNION,UNION
UNION CITY,NAUGATUCK
UNIONVILLE,FARMINGTON
UNIOVILLE,FARMINGTON
VENRON,VERNON
VERMON,VERNON
VERNON,VERNON
VERNON ROCKVILLE,VERNON
VERNON ROCKVL,VERNON
VERNON ROCVKILLE,VERNON
VERNON-ROCKVILLE,VERNON
VERNON/ROCKVILLE,VERNON
VERNONN,VERNON
VERSAILLES,LISBON
VOLUNTOWN,VOLUNTOWN
W HARTFORD,WEST HARTFORD
W. HARTLAND,HARTLAND
W. HAVEN,WEST HAVEN
WAATERBURY,WATERBURY
WAERBURY,WATERBURY
WALINGFORD,WALLINGFORD
WALLIGFORD,WALLINGFORD
WALLINFORD,WALLINGFORD
WALLINGFORD,WALLINGFORD
WALLINGFROD,WALLINGFORD
WALLINGOFRD,WALLINGFORD
WALLINGTON,WALLINGFORD
WALLLINGFORD,WALLINGFORD
WAREHOUSE POINT,EAST WINDSOR
WAREHOUSE POINT E WINDSOR,EAST WINDSOR
WARERTOWN,WATERTOWN
WARREN,WARREN
WASHINGTON,WASHINGTON
WASHINGTON DEPOT,WASHINGTON
WATBURY,WATERBURY
WATEBRURY,WATERBURY
WATEBURY,WATERBURY
WATEFORD,WATERFORD
WATERBIURY,WATERBURY
WATERBJRY,WATERBURY
WATERBJURY,WATERBURY
WATERBNURY,WATERBURY
WATERBRURY,WATERBURY
WATERBRUY,WATERBURY
WATERBRY,WATERBURY
WATERBUIRY,WATERBURY
WATERBUJRY,WATERBURY
WATERBUR,WATERBURY
WATERBURRY,WATERBURY
WATERBURT,WATERBURY
WATERBURTY,WATERBURY
WATERBURY,WATERBURY
WATERBURY.,WATERBURY
WATERBURYCT,WATERBURY
WATERBURYQ,WATERBURY
WATERBURYY,WATERBURY
WATERBUTY,WATERBURY
WATERBUY,WATERBURY
WATERBUYR,WATERBURY
WATEREBURY,WATERBURY
WATERFORD,WATERFORD
WATERFROD,WATERFORD
WATERNURY,WATERBURY
WATERRBURY,WATERBURY
WATERTOWN,WATERTOWN
WATERTWON,WATERTOWN
WATERUBURY,WATERBURY
WATERURY,WATERBURY
WATETBURY,WATERBURY
WATRBURY,WATERBURY
WATREBURY,WATERBURY
WAUREAGAN,PLAINFIELD
WAUREGAN,PLAINFIELD
WAUREGAN PLAINFIELD,PLAINFIELD
WAUREGAN PLAINTFIELD,PLAINFIELD
WAUREGANPLAINFIELD,PLAINFIELD
WEATHERSFIELD,WETHERSFIELD
WTHERSFIELD,WETHERSFIELD
WEATOGUE,SIMSBURY
WEATOUGE,SIMSBURY
WESDT HAVEN,WEST HAVEN
WESPORT,WESTPORT
WEST  HAVEN,WEST HAVEN
WEST CORNWALL,CORNWALL
WEST GRANBY,GRANBY
WEST GRANBY.,GRANBY
WEST GRANY,GRANBY
"BRITAIN AVE, WEST HARTFORD",WEST HARTFORD
WEST HARDFORD,WEST HARTFORD
WEST HARFORD,WEST HARTFORD
WEST HARFROD,WEST HARTFORD
WEST HARTFDORD,WEST HARTFORD
WEST HARTFOR,HARTFORD
WEST HARTFORD,WEST HARTFORD
WEST HARTFRORD,WEST HARTFORD
WEST HARTLAND,HARTLAND
WEST HARTORD,WEST HARTFORD
WEST HAVEN,WEST HAVEN
WEST HTFD,WEST HARTFORD
WEST MORRIS,LITCHFIELD
WEST NORWALK,NORWALK
WEST PLYMOUTH,PLYMOUTH
WEST PORT,WESTPORT
WEST REDDING,REDDING
WEST SIMSBURY,SIMSBURY
WEST SUFFIELD,SUFFIELD
WEST WILLINGTON,WILLINGTON
WESTBROOK,WESTBROOK
WESTHARTFORD,WEST HARTFORD
WESTHAVEN,WEST HAVEN
WESTON,WESTON
WESTORT,WESTPORT
WESTPORT,WESTPORT
WESTPORTC,WESTPORT
WESTPPORT,WESTPORT
WETHERFIELD,WETHERSFIELD
WETHERSFEILD,WETHERSFIELD
WETHERSFIELD,WETHERSFIELD
WETHERSFILED,WETHERSFIELD
WETS HARTFORD,WEST HARTFORD
WEWSTPORT,WESTPORT
WILIIMANTIC,WINDHAM
WILIMANTIC,WINDHAM
WILLIAMANTIC,WINDHAM
WILLIMANTIC,WINDHAM
WILLIMANTIC WINDHAM,WINDHAM
WILLIMATIC,WINDHAM
WILLIMNATIC,WINDHAM
WILLINGFORD,WALLINGFORD
WILLINGTON,WILLINGTON
WILLMANTIC,WINDHAM
WILLNGTON,WILLINGTON
WILTON,WILTON
WINCHESTER,WINCHESTER
WINCHESTER CENTER,WINCHESTER
WINDAHM,WINDHAM
WINDHAM,WINDHAM
WINDHAM CENTER,WINDHAM
WINDOSR,WINDSOR
WINDS,WINDSOR
WINDSOR,WINDSOR
WINDSOR LOCKS,WINDSOR LOCKS
WINDSOR LOKS,WINDSOR LOCKS
WINDSORVILLE,EAST WINDSOR
WINSDOR LOCKS,WINDSOR LOCKS
WINSOR LOCKS,WINDSOR LOCKS
WINSTED,WINCHESTER
WISTED,WINCHESTER
WODBURY,WOODBURY
WOLCOTT,WOLCOTT
WOOBURY,WOODBURY
WOODBRIDGE,WOODBRIDGE
WOODBURY,WOODBURY
WOODSOTCK,WOODSTOCK
WOODSTOCK,WOODSTOCK
WOODSTOCK VALLEY,WOODSTOCK
WOOSTOCK,WOODSTOCK
WOUTH WINDSOR,SOUTH WINDSOR
WTAERBURY,WATERBURY
WTBY,WATERBURY
WTERBURY,WATERBURY
YALESVILLE,WALLINGFORD
YANTIC,NORWICH
